timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r,arm
15m,is,zone_width_atr,Q1,1,0.26598840570512144,1.2910314453162133,1171,0.4517506404782237,0.3706233988044407,default
15m,is,zone_width_atr,Q2,2,1.2915921632093785,2.0423549036274546,1171,0.5081127241673783,0.22971818958155424,default
15m,is,zone_width_atr,Q3,3,2.0426436865160778,11.253067269860342,1171,0.5849701110162254,0.037574722459436376,default
15m,oos,zone_width_atr,Q1,1,0.2111026055465359,1.352207201336232,584,0.4315068493150685,0.4212328767123288,default
15m,oos,zone_width_atr,Q2,2,1.3532612617143376,2.130793201067811,583,0.5265866209262435,0.1835334476843911,default
15m,oos,zone_width_atr,Q3,3,2.131802975971711,12.36510379906551,583,0.5694682675814752,0.07632933104631218,default
1h,is,zone_width_atr,Q1,1,0.30869985932393046,1.2220990073074895,335,0.4417910447761194,0.39552238805970147,default
1h,is,zone_width_atr,Q2,2,1.2225182874401963,1.9299190754477031,334,0.5119760479041916,0.22005988023952097,default
1h,is,zone_width_atr,Q3,3,1.934048866410283,9.589231346506162,335,0.5671641791044776,0.08208955223880597,default
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.2046230385022973,187,0.3850267379679144,0.5374331550802139,default
1h,oos,zone_width_atr,Q2,2,1.2143930284862108,2.069038504154134,186,0.4946236559139785,0.26344086021505375,default
1h,oos,zone_width_atr,Q3,3,2.072466056067796,9.122627068086844,187,0.5775401069518716,0.05614973262032086,default
15m,is,zone_width_atr,Q1,1,0.10644194918795229,1.1982706717490106,1313,0.45392231530845395,0.3651942117288652,atr_1
15m,is,zone_width_atr,Q2,2,1.1984169919561418,1.9811611511556981,1313,0.5072353389185073,0.2319116527037319,atr_1
15m,is,zone_width_atr,Q3,3,1.9814736699729922,20.968155842868,1313,0.607006854531607,-0.017517136329017517,atr_1
15m,oos,zone_width_atr,Q1,1,0.1987242786280556,1.2389669256177351,652,0.4677914110429448,0.330521472392638,atr_1
15m,oos,zone_width_atr,Q2,2,1.239291030501034,2.0025662577351726,651,0.5038402457757296,0.2403993855606759,atr_1
15m,oos,zone_width_atr,Q3,3,2.004629621112893,13.93243899697995,652,0.5628834355828221,0.09279141104294479,atr_1
1h,is,zone_width_atr,Q1,1,0.2686579317354684,1.3359623401655438,458,0.4847161572052402,0.28820960698689957,atr_1
1h,is,zone_width_atr,Q2,2,1.3374246979523485,2.2810145975944147,457,0.5251641137855579,0.18708971553610504,atr_1
1h,is,zone_width_atr,Q3,3,2.283764486707527,17.56987205622542,458,0.5851528384279476,0.03711790393013101,atr_1
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.2773577571739878,246,0.46747967479674796,0.3313008130081301,atr_1
1h,oos,zone_width_atr,Q2,2,1.2777203936485222,2.338623595834383,245,0.5551020408163265,0.11224489795918367,atr_1
1h,oos,zone_width_atr,Q3,3,2.340067446927691,14.152846787549121,246,0.6382113821138211,-0.09552845528455285,atr_1
15m,is,zone_width_atr,Q1,1,0.10644194918795229,1.19758259352503,1473,0.5132382892057027,0.21690427698574338,atr_1.5
15m,is,zone_width_atr,Q2,2,1.1982706717490106,2.0148778757929646,1473,0.539714867617108,0.15071283095723015,atr_1.5
15m,is,zone_width_atr,Q3,3,2.015000015625751,20.968155842868,1473,0.6116768499660556,-0.029192124915139173,atr_1.5
15m,oos,zone_width_atr,Q1,1,0.1987242786280556,1.239291030501034,759,0.5270092226613966,0.18247694334650857,atr_1.5
15m,oos,zone_width_atr,Q2,2,1.2399766504836836,2.0576055966341436,758,0.5435356200527705,0.14116094986807387,atr_1.5
15m,oos,zone_width_atr,Q3,3,2.0590305472265977,17.78434916386985,759,0.6034255599472991,-0.008563899868247694,atr_1.5
1h,is,zone_width_atr,Q1,1,0.2686579317354684,1.3110812930095745,399,0.543859649122807,0.14035087719298245,atr_1.5
1h,is,zone_width_atr,Q2,2,1.3113630954295448,2.2437305777316214,398,0.5402010050251256,0.14949748743718594,atr_1.5
1h,is,zone_width_atr,Q3,3,2.247330661208669,17.316423026474453,399,0.5939849624060151,0.015037593984962405,atr_1.5
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.2640957306468428,232,0.4956896551724138,0.2607758620689655,atr_1.5
1h,oos,zone_width_atr,Q2,2,1.2644022732567646,2.2926101611785246,231,0.5714285714285714,0.07142857142857142,atr_1.5
1h,oos,zone_width_atr,Q3,3,2.297864179530232,14.152846787549121,232,0.6336206896551724,-0.08405172413793104,atr_1.5
15m,is,zone_width_atr,Q1,1,0.10644194918795229,1.1918954713231438,1415,0.5568904593639576,0.10777385159010601,atr_2
15m,is,zone_width_atr,Q2,2,1.1924138619912947,2.000799620542001,1414,0.5424328147100425,0.14391796322489392,atr_2
15m,is,zone_width_atr,Q3,3,2.001063664072568,20.968155842868,1414,0.5919377652050919,0.020155586987270154,atr_2
15m,oos,zone_width_atr,Q1,1,0.1987242786280556,1.2060930073955534,726,0.5440771349862259,0.13980716253443526,atr_2
15m,oos,zone_width_atr,Q2,2,1.20665166165985,1.9983294323441239,725,0.5489655172413793,0.12758620689655173,atr_2
15m,oos,zone_width_atr,Q3,3,1.9986133693604702,17.080362180368912,725,0.5986206896551725,0.0034482758620689655,atr_2
1h,is,zone_width_atr,Q1,1,0.302715265395744,1.2789307881264047,346,0.5549132947976878,0.11271676300578035,atr_2
1h,is,zone_width_atr,Q2,2,1.2795792389867164,2.1420900729829095,345,0.5391304347826087,0.15217391304347827,atr_2
1h,is,zone_width_atr,Q3,3,2.1434581347044404,17.316423026474453,346,0.6213872832369942,-0.05346820809248555,atr_2
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.1980604735760845,200,0.535,0.1625,atr_2
1h,oos,zone_width_atr,Q2,2,1.2008963565053525,2.230818783971675,200,0.54,0.15,atr_2
1h,oos,zone_width_atr,Q3,3,2.244673783685252,14.152846787549121,200,0.63,-0.075,atr_2
