symbol,entry_tf,segment,arm,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,frac_no_resistance,dist_median_r
BTC/USDT:USDT,1h,full,fixed_1.5r,598,467,269,0.7809364548494984,0.2908642935985299,0.10927202625242,0.5092936802973977,9.027865741935331,0.2732342007434941,137,132,0,,
BTC/USDT:USDT,1h,full,resistance_self,598,467,247,0.7809364548494984,0.9209834132456264,0.1156533897913776,0.3724696356275304,12.461470045263976,0.532064547013581,92,155,0,0.0451505016722408,3.662982204771337
BTC/USDT:USDT,1h,full,resistance_combined,598,467,295,0.7809364548494984,0.47680173787461,0.1155363441546255,0.511864406779661,10.582759779670166,0.3236284698995817,151,144,0,0.0033444816053511,1.6612230260477117
BTC/USDT:USDT,1h,is,fixed_1.5r,338,267,161,0.7899408284023669,0.0303703778901392,0.10927202625242,0.4782608695652174,2.1815969796375576,0.1956521739130429,77,84,0,,
BTC/USDT:USDT,1h,is,resistance_self,338,267,151,0.7899408284023669,0.5404438554743776,0.1156533897913776,0.3774834437086092,12.188013565368433,0.6894981710041099,57,94,0,0.0710059171597633,3.1446517803057294
BTC/USDT:USDT,1h,is,resistance_combined,338,267,175,0.7899408284023669,0.2125823569874824,0.1155363441546255,0.4857142857142857,8.392292062972993,0.3158614519598444,85,90,0,0.0059171597633136,1.7406849552315466
BTC/USDT:USDT,1h,oos,fixed_1.5r,230,170,91,0.7391304347826086,0.1156296675670306,0.0550342935449677,0.5164835164835165,11.080086803800691,0.2912087912087903,47,44,0,,
BTC/USDT:USDT,1h,oos,resistance_self,230,170,86,0.7391304347826086,0.1568014349893219,0.0722233035067145,0.3720930232558139,11.005318445422732,0.2342884547746721,32,54,0,0.008695652173913,3.8938759440209103
BTC/USDT:USDT,1h,oos,resistance_combined,230,170,106,0.7391304347826086,0.1254249468034541,0.0601532439526024,0.5566037735849056,10.866855670423751,0.3083731299285062,59,47,0,0.0,1.5050224448798084
ETH/USDT:USDT,1h,full,fixed_1.5r,651,501,288,0.7695852534562212,0.6009402374200259,0.1533692847759471,0.5208333333333334,14.186970540544344,0.3020833333333331,150,138,0,,
ETH/USDT:USDT,1h,full,resistance_self,651,501,251,0.7695852534562212,0.2302282696503096,0.1696259379844343,0.3147410358565737,4.7502392779446465,0.2108213913020621,79,172,0,0.0384024577572964,3.79216301881866
ETH/USDT:USDT,1h,full,resistance_combined,651,501,304,0.7695852534562212,0.1882269924333772,0.2207465855318013,0.4703947368421052,4.806862958796673,0.1826771445901593,143,161,0,0.0030721966205837,1.7101741310650722
ETH/USDT:USDT,1h,is,fixed_1.5r,421,327,176,0.7767220902612827,0.1325629166860257,0.1533692847759471,0.4829545454545454,6.492149974263332,0.2073863636363634,85,91,0,,
ETH/USDT:USDT,1h,is,resistance_self,421,327,161,0.7767220902612827,0.011606617595846,0.1696259379844343,0.3167701863354037,1.2082463365067602,0.1010788995510796,51,110,0,0.0593824228028503,3.6627663799175303
ETH/USDT:USDT,1h,is,resistance_combined,421,327,198,0.7767220902612827,0.1568242014091645,0.2207465855318013,0.4797979797979798,5.94350714328349,0.187852403675812,95,103,0,0.004750593824228,1.559079191777331
ETH/USDT:USDT,1h,oos,fixed_1.5r,214,161,102,0.7523364485981309,0.3293255251110881,0.0483661547201264,0.5686274509803921,23.74193590719447,0.421568627450979,58,44,0,,
ETH/USDT:USDT,1h,oos,resistance_self,214,161,87,0.7523364485981309,0.1861022381751929,0.1126045629035186,0.3563218390804598,10.731007609014812,0.3933171886400647,31,56,0,0.0560747663551401,3.7665713566298873
ETH/USDT:USDT,1h,oos,resistance_combined,214,161,96,0.7523364485981309,-0.00207517309605,0.158821504239085,0.4479166666666667,0.371084083405607,0.1577758892724224,43,53,0,0.0,1.8262088967759325
SOL/USDT:USDT,1h,full,fixed_1.5r,602,475,281,0.7890365448504983,0.3274147246815977,0.0857548586215045,0.4875444839857651,8.708490031135883,0.218861209964413,137,144,0,,
SOL/USDT:USDT,1h,full,resistance_self,602,475,238,0.7890365448504983,0.4760023949556447,0.1790308172681994,0.3109243697478991,7.653546038650067,0.2810943827091784,74,164,0,0.0448504983388704,4.485847018599543
SOL/USDT:USDT,1h,full,resistance_combined,602,475,302,0.7890365448504983,0.5079001922049738,0.1336898719626016,0.4403973509933774,5.80140123767571,0.2553261151690342,133,169,0,0.0016611295681063,1.8224647459403889
SOL/USDT:USDT,1h,is,fixed_1.5r,396,324,193,0.8181818181818182,0.2258287999825053,0.0712767602786565,0.4870466321243523,9.033635108309303,0.217616580310881,94,99,0,,
SOL/USDT:USDT,1h,is,resistance_self,396,324,166,0.8181818181818182,0.1762467816106356,0.1790308172681994,0.3132530120481928,5.111411349806214,0.2499633359561995,52,114,0,0.0681818181818181,4.337094022055301
SOL/USDT:USDT,1h,is,resistance_combined,396,324,212,0.8181818181818182,0.0776892668289521,0.1336898719626016,0.4575471698113207,3.029031773036156,0.1339387093443257,97,115,0,0.0025252525252525,1.7359298189873469
SOL/USDT:USDT,1h,oos,fixed_1.5r,188,134,76,0.7127659574468085,0.003053996914815,0.0891933250168172,0.4473684210526316,0.8546034080902041,0.1184210526315786,34,42,0,,
SOL/USDT:USDT,1h,oos,resistance_self,188,134,71,0.7127659574468085,0.1905574095256104,0.1012547025578035,0.3098591549295774,10.79044338822927,0.2949147524260846,22,49,0,0.0904255319148936,4.616383880544993
SOL/USDT:USDT,1h,oos,resistance_combined,188,134,80,0.7127659574468085,-0.0237869439189793,0.1094130388302642,0.4,-1.3866954990206697,0.0877591359091257,32,48,0,0.0,2.036963867558434
BNB/USDT:USDT,1h,full,fixed_1.5r,574,461,249,0.8031358885017421,0.2297230503408232,0.1827741764216863,0.4899598393574297,7.633954461382201,0.224899598393575,122,127,0,,
BNB/USDT:USDT,1h,full,resistance_self,574,461,189,0.8031358885017421,0.3344392403094554,0.2159680007545385,0.3227513227513227,5.9934588906923,0.2987152698866901,62,127,0,0.0278745644599303,3.8616481559488154
BNB/USDT:USDT,1h,full,resistance_combined,574,461,267,0.8031358885017421,0.4971001337491223,0.1353428689320959,0.4606741573033708,7.057236123775967,0.3082640809840064,124,143,0,0.0034843205574912,1.7274938714006975
BNB/USDT:USDT,1h,is,fixed_1.5r,375,297,146,0.792,0.1668958737151566,0.0900672396690468,0.4863013698630137,9.595482572134038,0.2157534246575345,71,75,0,,
BNB/USDT:USDT,1h,is,resistance_self,375,297,134,0.792,0.2045256051251541,0.1431782472222202,0.3656716417910448,8.697135680873394,0.2631246590262943,50,84,0,0.0373333333333333,3.760632805271095
BNB/USDT:USDT,1h,is,resistance_combined,375,297,164,0.792,0.1914522584762147,0.1203941139530257,0.4817073170731707,8.705023110787204,0.2237384737936359,80,84,0,0.0053333333333333,1.6406023744237763
BNB/USDT:USDT,1h,oos,fixed_1.5r,178,149,96,0.8370786516853933,-0.0105604996988588,0.1436022348066176,0.46875,-0.4473022810003558,0.1718750000000006,45,51,0,,
BNB/USDT:USDT,1h,oos,resistance_self,178,149,72,0.8370786516853933,0.1388431066459758,0.1963734744606509,0.25,5.552181024927043,0.561131225125067,18,54,0,0.0168539325842696,4.6337051847993935
BNB/USDT:USDT,1h,oos,resistance_combined,178,149,92,0.8370786516853933,0.1374882400194368,0.1329234145955226,0.4021739130434782,5.174697342656853,0.3815297325874553,37,55,0,0.0,1.9516646552747847
XRP/USDT:USDT,1h,full,fixed_1.5r,547,424,268,0.7751371115173674,0.4832965527074491,0.1110070123915464,0.5074626865671642,12.703085090878536,0.2686567164179101,136,132,0,,
XRP/USDT:USDT,1h,full,resistance_self,547,424,225,0.7751371115173674,0.3955463384509617,0.2162267886706516,0.3333333333333333,7.089855928788007,0.2752709754002839,75,150,0,0.0292504570383912,3.3077749333111983
XRP/USDT:USDT,1h,full,resistance_combined,547,424,277,0.7751371115173674,0.4569207275301629,0.1258704701085014,0.4801444043321299,9.228361185240448,0.2518341005761975,133,144,0,0.0018281535648994,1.6783495967323483
XRP/USDT:USDT,1h,is,fixed_1.5r,372,295,190,0.793010752688172,0.4459118939196101,0.0900663721167433,0.5263157894736842,16.385892163190658,0.31578947368421,100,90,0,,
XRP/USDT:USDT,1h,is,resistance_self,372,295,153,0.793010752688172,0.5609918868448475,0.0982976452396755,0.3333333333333333,11.585056741715343,0.4353428862979556,51,102,0,0.0295698924731182,3.0153791100422658
XRP/USDT:USDT,1h,is,resistance_combined,372,295,188,0.793010752688172,0.4000571577612752,0.1088064642668899,0.4680851063829787,11.043026426598075,0.3034471513137953,88,100,0,0.0026881720430107,1.6499730470692449
XRP/USDT:USDT,1h,oos,fixed_1.5r,155,111,73,0.7161290322580646,-0.0707199077857168,0.129147152570585,0.410958904109589,-8.44275946175201,0.0273972602739726,30,43,0,,
XRP/USDT:USDT,1h,oos,resistance_self,155,111,69,0.7161290322580646,-0.185685129790786,0.2393067311064596,0.2753623188405797,-22.11240399512664,-0.2036676415649237,19,50,0,0.032258064516129,4.785996948150978
XRP/USDT:USDT,1h,oos,resistance_combined,155,111,80,0.7161290322580646,-0.0290375518819431,0.1391142797343375,0.4375,-2.3533563105251014,0.0942526517984861,35,45,0,0.0,2.132164260145603
TRX/USDT:USDT,1h,full,fixed_1.5r,475,373,209,0.7852631578947369,0.0303187827314048,0.1238082186154138,0.4832535885167464,1.883659989710479,0.2081339712918659,101,108,0,,
TRX/USDT:USDT,1h,full,resistance_self,475,373,162,0.7852631578947369,0.2460533342353696,0.1203067869348168,0.3333333333333333,7.643638191308161,0.3620521619474057,54,108,0,0.0378947368421052,5.048190747053731
TRX/USDT:USDT,1h,full,resistance_combined,475,373,216,0.7852631578947369,0.0338844658894158,0.1474118378130444,0.4398148148148148,1.82802952128518,0.1992039556409546,95,121,0,0.0084210526315789,2.100420513603818
TRX/USDT:USDT,1h,is,fixed_1.5r,319,244,138,0.7648902821316614,0.0728099501695429,0.0471428413614915,0.4927536231884058,5.335431027790795,0.2318840579710141,68,70,0,,
TRX/USDT:USDT,1h,is,resistance_self,319,244,102,0.7648902821316614,0.287932816126826,0.0965417033393386,0.3725490196078431,11.721495529886896,0.4528162125048594,38,64,0,0.0564263322884012,4.6934937109799675
TRX/USDT:USDT,1h,is,resistance_combined,319,244,147,0.7648902821316614,0.0914182498373707,0.0865188411007243,0.4693877551020408,5.392774449018449,0.2541192068284932,69,78,0,0.012539184952978,1.9737791664563085
TRX/USDT:USDT,1h,oos,fixed_1.5r,150,124,69,0.8266666666666667,-0.0499149873361946,0.1332121436144332,0.4492753623188406,-8.320219275383561,0.1231884057971033,31,38,0,,
TRX/USDT:USDT,1h,oos,resistance_self,150,124,58,0.8266666666666667,-0.0474883798928256,0.1339198174491652,0.2586206896551724,-5.9927695229151166,0.1639719014660093,15,43,0,0.0133333333333333,5.139360555727697
TRX/USDT:USDT,1h,oos,resistance_combined,150,124,67,0.8266666666666667,-0.0659271908478229,0.1409563153979577,0.373134328358209,-9.643604925100949,0.0449409052833894,25,42,0,0.0,2.427561200007207
BTC/USDT:USDT,15m,full,fixed_1.5r,2420,2004,811,0.828099173553719,0.41443686399350954,0.1423022971810841,0.5018495684340321,10.488570874910165,0.2546239210850798,407,404,0,,
BTC/USDT:USDT,15m,full,resistance_self,2420,2004,713,0.828099173553719,0.7812613868422886,0.15668424618273152,0.3702664796633941,12.346292060437452,0.3215455176019327,266,447,0,0.03760330578512397,3.6910330962195754
BTC/USDT:USDT,15m,full,resistance_combined,2420,2004,882,0.828099173553719,0.0721029291268067,0.2557843536345281,0.5170068027210885,2.5049819246106324,0.20223947089770816,462,420,0,0.001652892561983471,1.5833060291348904
BTC/USDT:USDT,15m,is,fixed_1.5r,1595,1309,533,0.8206896551724138,0.32123133736330345,0.12153758317555309,0.5084427767354597,12.79626994410604,0.27110694183864936,271,262,0,,
BTC/USDT:USDT,15m,is,resistance_self,1595,1309,471,0.8206896551724138,0.5475158474731472,0.15668424618273152,0.38004246284501064,13.552487720707802,0.3427946391842045,181,290,0,0.05642633228840126,3.6544430886586436
BTC/USDT:USDT,15m,is,resistance_combined,1595,1309,591,0.8206896551724138,0.19772026911005158,0.18406789305796914,0.5296108291032149,7.3247486740743994,0.22882188954616414,319,272,0,0.0025078369905956114,1.5410498827614691
BTC/USDT:USDT,15m,oos,fixed_1.5r,780,655,253,0.8397435897435898,0.025310032813136787,0.1351074898003508,0.4782608695652174,2.97635189047771,0.1956521739130426,121,132,0,,
BTC/USDT:USDT,15m,oos,resistance_self,780,655,229,0.8397435897435898,0.07789029263511366,0.14775351001266837,0.34934497816593885,6.180725570074467,0.2430349660627431,80,149,0,0.001282051282051282,3.709021119851304
BTC/USDT:USDT,15m,oos,resistance_combined,780,655,278,0.8397435897435898,-0.1694682547938346,0.1694682547938346,0.4856115107913669,-15.36217129132457,0.0944578231012769,137,141,0,0.0,1.6155289017752608
ETH/USDT:USDT,15m,full,fixed_1.5r,2456,1986,983,0.8086319218241043,0.6874578817826332,0.33733814246502614,0.5045778229908443,11.587851893018875,0.26144455747711076,496,487,0,,
ETH/USDT:USDT,15m,full,resistance_self,2456,1986,823,0.8086319218241043,0.32508399831642654,0.30080446511210157,0.33900364520048604,5.5866233766592845,0.2923956848633306,279,544,0,0.021579804560260585,3.611298889425338
ETH/USDT:USDT,15m,full,resistance_combined,2456,1986,1079,0.8086319218241043,0.2145765291209247,0.24751197344179868,0.505097312326228,4.214441200892288,0.21426481906821698,547,532,0,0.0012214983713355048,1.6086954883059712
ETH/USDT:USDT,15m,is,fixed_1.5r,1549,1254,627,0.8095545513234345,0.036259406162898085,0.33733814246502614,0.48165869218500795,2.0171726159811567,0.20414673046251972,302,325,0,,
ETH/USDT:USDT,15m,is,resistance_self,1549,1254,516,0.8095545513234345,0.0730596065502934,0.30080446511210157,0.31007751937984496,3.0331340906514663,0.30964798235380875,160,356,0,0.02130406714009038,3.8032324868108143
ETH/USDT:USDT,15m,is,resistance_combined,1549,1254,677,0.8095545513234345,0.012422396017760184,0.24751197344179868,0.48301329394387,1.3192814074658592,0.2062331335583151,327,350,0,0.001936733376371853,1.7220727006540315
ETH/USDT:USDT,15m,oos,fixed_1.5r,886,711,341,0.8024830699774267,0.6081230916532456,0.07498753176007861,0.5454545454545454,28.31210135456767,0.36363636363636365,186,155,0,,
ETH/USDT:USDT,15m,oos,resistance_self,886,711,297,0.8024830699774267,0.3212658483097561,0.1252733771818692,0.40404040404040403,14.771988381013076,0.2973510445160844,120,177,0,0.028216704288939052,3.2158759541997535
ETH/USDT:USDT,15m,oos,resistance_combined,886,711,388,0.8024830699774267,0.25405440089605547,0.15657531092799412,0.5541237113402062,13.464115933419661,0.24677599019013982,217,171,0,0.0,1.415171358397528
SOL/USDT:USDT,15m,full,fixed_1.5r,2429,1966,1168,0.8093865788390284,1.4730996852010139,0.15935614549449192,0.5085616438356164,15.74951663628155,0.27140410958904115,594,574,0,,
SOL/USDT:USDT,15m,full,resistance_self,2429,1966,900,0.8093865788390284,0.7103462804961626,0.3797703563176679,0.29888888888888887,7.728972018527981,0.19508988985567577,268,632,0,0.015232606010703994,4.312894347329857
SOL/USDT:USDT,15m,full,resistance_combined,2429,1966,1239,0.8093865788390284,2.590228612444518,0.2381254198548307,0.4794188861985472,13.194841849880644,0.2838957786316728,594,645,0,0.0,1.7987903472297475
SOL/USDT:USDT,15m,is,fixed_1.5r,1614,1297,794,0.8035935563816605,0.9239273300540506,0.15935614549449192,0.5062972292191436,16.33969050092745,0.2657430730478588,402,392,0,,
SOL/USDT:USDT,15m,is,resistance_self,1614,1297,645,0.8035935563816605,0.37538910969491246,0.3797703563176679,0.29767441860465116,6.898569178774417,0.16567424857451848,192,453,0,0.02292441140024783,4.434949518906911
SOL/USDT:USDT,15m,is,resistance_combined,1614,1297,836,0.8035935563816605,1.1735974713090178,0.2381254198548307,0.47248803827751196,14.958191463280045,0.24077928543784433,395,441,0,0.0,1.8671709878359564
SOL/USDT:USDT,15m,oos,fixed_1.5r,788,645,358,0.8185279187817259,0.20689974148899856,0.13962754678480702,0.505586592178771,11.535163048395662,0.26396648044692794,181,177,0,,
SOL/USDT:USDT,15m,oos,resistance_self,788,645,297,0.8185279187817259,0.06052157937709271,0.16784086726028385,0.31313131313131315,3.852417781728292,0.24367411266617237,93,204,0,0.025380710659898477,4.124306850670622
SOL/USDT:USDT,15m,oos,resistance_combined,788,645,384,0.8185279187817259,0.04994761404382389,0.1594666005035354,0.4895833333333333,3.4077457510716385,0.20276859523047164,188,196,0,0.0,1.6606072238685496
BNB/USDT:USDT,15m,full,fixed_1.5r,2146,1771,833,0.8252562907735321,-0.11845930747930779,0.31471635973134765,0.46218487394957986,-2.5175180130168435,0.1554621848739506,385,448,0,,
BNB/USDT:USDT,15m,full,resistance_self,2146,1771,685,0.8252562907735321,0.15366104898973498,0.37549662170081766,0.291970802919708,3.5119932438125914,0.21723038562322688,202,483,0,0.014445479962721343,3.8640695351399224
BNB/USDT:USDT,15m,full,resistance_combined,2146,1771,890,0.8252562907735321,0.2721066316663082,0.2858847729499531,0.4764044943820225,4.146009281549021,0.2176650522935799,427,463,0,0.0013979496738117428,1.7824255281006136
BNB/USDT:USDT,15m,is,fixed_1.5r,1426,1184,558,0.8302945301542777,0.06760610368099533,0.24812458611373825,0.4731182795698925,3.3528054665352345,0.18279569892473232,264,294,0,,
BNB/USDT:USDT,15m,is,resistance_self,1426,1184,455,0.8302945301542777,0.2684411911606092,0.23640442005105766,0.3120879120879121,7.450931303266232,0.2507624298115354,142,313,0,0.01332398316970547,3.7917514082510384
BNB/USDT:USDT,15m,is,resistance_combined,1426,1184,603,0.8302945301542777,0.19262564951288422,0.2858847729499531,0.494195688225539,6.219267405178232,0.20468763349667393,299,304,0,0.001402524544179523,1.716078648767858
BNB/USDT:USDT,15m,oos,fixed_1.5r,714,581,271,0.8137254901960784,-0.1719627838310591,0.2021280482644725,0.43911439114391143,-14.712045170886867,0.097785977859779,119,152,0,,
BNB/USDT:USDT,15m,oos,resistance_self,714,581,227,0.8137254901960784,-0.06761862219234353,0.3597928945232465,0.2555066079295154,0.7364094221409486,0.16610532424955307,60,167,0,0.0196078431372549,4.008588360183883
BNB/USDT:USDT,15m,oos,resistance_combined,714,581,284,0.8137254901960784,0.09346545986153051,0.26661388580849993,0.44366197183098594,4.154895083922195,0.2580818788284901,128,156,0,0.0014005602240896359,1.8872397930613947
XRP/USDT:USDT,15m,full,fixed_1.5r,2314,1849,972,0.7990492653414002,0.37748165884778884,0.19433895193394468,0.48662551440329216,7.44326332209882,0.2165637860082302,473,499,0,,
XRP/USDT:USDT,15m,full,resistance_self,2314,1849,714,0.7990492653414002,-0.10336512523364182,0.32457545706210567,0.29411764705882354,-0.2989496655408575,0.15946099979942338,211,503,0,0.003025064822817632,3.832001396914879
XRP/USDT:USDT,15m,full,resistance_combined,2314,1849,1044,0.7990492653414002,1.355561700916001,0.2165300874573696,0.4942528735632184,7.945980621611603,0.2691007157207154,517,527,0,0.0,1.6124191902581386
XRP/USDT:USDT,15m,is,fixed_1.5r,1506,1211,634,0.8041168658698539,0.3524244479989251,0.11901708702404759,0.48738170347003157,10.184851017531674,0.21845425867507873,309,325,0,,
XRP/USDT:USDT,15m,is,resistance_self,1506,1211,520,0.8041168658698539,-0.09150897968394783,0.32457545706210567,0.2846153846153846,-0.5116011569742666,0.12359263159125662,149,371,0,0.004648074369189907,3.6477238427301613
XRP/USDT:USDT,15m,is,resistance_combined,1506,1211,677,0.8041168658698539,0.5492194032604082,0.1683141483469866,0.49039881831610044,10.886355403197049,0.22312030042023992,333,344,0,0.0,1.588866440438824
XRP/USDT:USDT,15m,oos,fixed_1.5r,800,630,333,0.7875,-0.030573320851364952,0.19505326280061833,0.4804804804804805,-1.1295369766144545,0.2012012012012009,160,173,0,,
XRP/USDT:USDT,15m,oos,resistance_self,800,630,276,0.7875,-0.15380408264297477,0.3329492221991778,0.3007246376811594,-7.282311468756076,0.1547290605856948,83,193,0,0.0,4.164367667328159
XRP/USDT:USDT,15m,oos,resistance_combined,800,630,363,0.7875,-0.1303690457185705,0.24827794001506948,0.4986225895316804,-7.515661125233006,0.15510727383231668,181,182,0,0.0,1.6706226191712297
TRX/USDT:USDT,15m,full,fixed_1.5r,1986,1600,496,0.8056394763343404,-0.30184656802385196,0.34454378282361164,0.41935483870967744,-17.918534355637,0.048387096774193186,208,288,0,,
TRX/USDT:USDT,15m,full,resistance_self,1986,1600,428,0.8056394763343404,-0.09624381837235997,0.20697968859403665,0.3014018691588785,-2.5192761674269573,0.18685354066683343,129,299,0,0.019133937562940583,4.732002393024353
TRX/USDT:USDT,15m,full,resistance_combined,1986,1600,534,0.8056394763343404,-0.2922968756390786,0.34244497874116153,0.46629213483146065,-15.208857498089408,0.07187050004897913,250,284,0,0.0015105740181268882,1.7903773540099197
TRX/USDT:USDT,15m,is,fixed_1.5r,1289,1029,367,0.7982932505818464,-0.2314990181537166,0.34454378282361164,0.4250681198910082,-17.03172579326276,0.06267029972751989,156,211,0,,
TRX/USDT:USDT,15m,is,resistance_self,1289,1029,314,0.7982932505818464,-0.05817098356869337,0.20697968859403665,0.30254777070063693,-1.6233066794101292,0.223360383259197,95,219,0,0.02948021722265322,4.513893999803216
TRX/USDT:USDT,15m,is,resistance_combined,1289,1029,398,0.7982932505818464,-0.2515397167432796,0.32682889154945166,0.46984924623115576,-17.120292142944894,0.07651466732289527,188,210,0,0.0023273855702094647,1.7808361829026076
TRX/USDT:USDT,15m,oos,fixed_1.5r,684,562,125,0.8216374269005848,-0.12008192180953665,0.1408174193581714,0.384,-29.604708616085592,-0.039999999999999786,48,77,0,,
TRX/USDT:USDT,15m,oos,resistance_self,684,562,111,0.8216374269005848,-0.08727670956771526,0.177769825950964,0.2882882882882883,-15.100706877882592,-0.011068983598547069,32,79,0,0.0029239766081871343,5.166181823079598
TRX/USDT:USDT,15m,oos,resistance_combined,684,562,132,0.8216374269005848,-0.07703096443779323,0.12307787035860142,0.4393939393939394,-14.317414775210535,0.02129600786886893,58,74,0,0.0,1.794753238164069
